number,title,shortDescription,description,points,category,difficulty,validationMode,criteria,minimumPeople,maxAttempts,requireLocation,latitude,longitude,radiusMeters,active
11,Зелёный Лейпциг,Растение в неожиданном месте,"Найдите растение, выросшее там, где его никто не сажал: в трещине асфальта, на крыше, из стены. Снимите крупно, но с городским контекстом.",40,object_search,easy,ai,На фотографии есть растение | Растение растёт в неожиданном для него месте,0,3,false,,,,true
12,Командная фигура,Постройте фигуру всей командой,"Постройте устойчивую командную фигуру — пирамиду, звезду, живую скульптуру. Безопасность важнее баллов: не залезайте на конструкции.",80,team,medium,manual,В кадре вся команда | Участники образуют единую фигуру,3,2,false,,,,true
13,"Знак, которого вы не понимаете",Найдите самый непонятный знак,"Найдите дорожный или информационный знак, смысл которого вам неочевиден. Сфотографируйте его целиком, чтобы можно было разобрать пиктограмму.",40,road_signs,easy,ai,На фотографии виден знак | Пиктограмма читается целиком,0,2,false,,,,true
14,Трамвай в кадре,Снимите движущийся трамвай,"Лейпциг — город трамваев. Сфотографируйте трамвай в движении так, чтобы было видно номер маршрута.",50,object_search,medium,ai,На фотографии виден трамвай | Различим номер маршрута,0,3,false,,,,true
15,Дверь с характером,Найдите самую выразительную дверь,"Найдите старую, резную, расписанную или просто странную дверь. Снимите её целиком.",40,object_search,easy,ai,На фотографии видна дверь целиком | Дверь чем-то выделяется,0,3,false,,,,true
16,Уличное искусство,Найдите граффити или мурал,"Найдите настенную роспись, мурал или заметное граффити. Один участник должен взаимодействовать с изображением: повторить жест, встать в композицию.",70,creative,medium,ai,На фотографии видна настенная роспись или граффити | Участник взаимодействует с изображением,1,2,false,,,,true
17,Вывеска на другом языке,Найдите не немецкую вывеску,"Найдите вывеску или объявление не на немецком языке. Сфотографируйте так, чтобы текст читался.",50,advertising,easy,ai,На фотографии видна вывеска | Текст читается и он не на немецком,0,2,false,,,,true
18,Городская симметрия,Найдите идеально симметричный вид,"Найдите фасад, арку или лестницу с выраженной симметрией и снимите строго по центру.",60,creative,medium,ai,"Композиция симметрична | Снято фронтально, без сильного наклона",0,3,false,,,,true
19,Скамейка на четверых,Вся команда на одной скамейке,Найдите городскую скамейку и разместитесь на ней всей командой. Соседей по скамейке не сгоняйте.,50,team,easy,ai,В кадре скамейка | На ней размещается вся команда,2,2,false,,,,true
20,Самый мелкий шрифт,Найдите нечитаемую надпись,"Найдите городскую надпись, набранную неприлично мелко: сноску на табличке, примечание на объявлении. Снимите так, чтобы её всё-таки можно было прочитать.",60,object_search,medium,manual,Надпись в кадре | Текст можно разобрать при увеличении,0,2,false,,,,true
21,Животное в городе,Настоящее или изображённое,"Найдите животное: живое, на вывеске, в виде скульптуры или флюгера. Живых не трогайте и не пугайте.",40,object_search,easy,ai,В кадре есть животное или его изображение,0,3,false,,,,true
22,Прыжок,Все в воздухе одновременно,"Сфотографируйте команду в прыжке так, чтобы ни одна нога не касалась земли. Понадобится несколько дублей и ровная площадка.",80,team,hard,ai,В кадре вся команда | Все участники в воздухе,2,3,false,,,,true
23,Купите что-то за один евро,Покупка ровно на один евро,Купите любой предмет ровно за один евро или дешевле и сфотографируйте покупку вместе с чеком.,70,interaction,medium,manual,В кадре покупка | В кадре чек с суммой,1,1,false,,,,true
24,Тень как персонаж,Сделайте тень главной в кадре,"Снимите фотографию, где главный герой — тень: ваша, дерева, фонаря или скульптуры.",60,creative,medium,ai,Тень является основным содержанием кадра,0,3,false,,,,true
25,Табличка с именем,Найдите имя одного из вас на улице,"Найдите городскую надпись, содержащую имя кого-то из вашей команды: название улицы, вывеску кафе, мемориальную доску.",70,object_search,hard,manual,Надпись читается | Она содержит имя участника команды,0,2,false,,,,true
26,Велосипед странной судьбы,Найдите заброшенный велосипед,"Найдите велосипед, который явно давно никуда не ездил: без колеса, вросший в ограду, увитый растениями.",50,object_search,medium,ai,"В кадре велосипед | Видно, что он давно не используется",0,2,false,,,,true
27,"Витрина, в которую хочется войти",Самая соблазнительная витрина,"Найдите витрину, мимо которой невозможно пройти. Снимите её целиком и добавьте в кадр реакцию участника.",50,advertising,easy,ai,В кадре витрина | В кадре есть участник команды,1,2,false,,,,true
28,Точка над городом,Снимите город сверху,"Поднимитесь на любую доступную высоту — мост, лестницу, открытую террасу — и снимите вид на город. Только там, где это разрешено и безопасно.",90,special,hard,manual,Кадр снят сверху | Виден городской пейзаж,0,2,false,,,,true
29,Незнакомец делает вам фото,Попросите прохожего снять команду,"Попросите прохожего сфотографировать вашу команду целиком. Это единственное задание, где снимать должен не участник.",80,interaction,medium,manual,"В кадре вся команда | Очевидно, что снимал не участник",2,2,false,,,,true
30,Финальный кадр,Ваша фотография вечера,"Один кадр, который лучше всего описывает ваш квест. Никаких формальных критериев — только ваш выбор. Оценивает организатор.",100,special,hard,manual,Фотография сделана во время квеста,0,1,false,,,,true
